index,_segment_type,_inventory_type,_language,anterior,labial,back,high,ATR,lateral,distributed,LONG,spread,low,syllabic,continuant,nasal,sonorant,coronal,tense,constr,vocalic,strident,EXTRA,consonantal,voice,round
34,Whole,Natural,aar,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
35,Whole,Natural,aar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
36,Whole,Natural,aar,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
37,Whole,Natural,aar,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
38,Whole,Natural,aar,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
39,Whole,Natural,aar,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
40,Whole,Natural,aar,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-
41,Whole,Natural,aar,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
42,Whole,Natural,aar,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
43,Whole,Natural,aar,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
44,Whole,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
45,Whole,Natural,aar,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
46,Whole,Natural,aar,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
47,Whole,Natural,aar,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-
48,Whole,Natural,aar,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
49,Whole,Natural,aar,-,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
50,Whole,Natural,aar,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
51,Whole,Natural,aar,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
52,Whole,Natural,aar,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
53,Whole,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
54,Whole,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
55,Whole,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
56,Whole,Natural,aar,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
57,Whole,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
58,Whole,Natural,aar,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
59,Whole,Natural,aar,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-
60,Whole,Natural,aar,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
84057,Consonant,Natural,aar,-,-,-,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
84058,Consonant,Natural,aar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
84059,Consonant,Natural,aar,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
84060,Consonant,Natural,aar,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,+,-
84061,Consonant,Natural,aar,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
84062,Consonant,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
84063,Consonant,Natural,aar,+,+,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,+,-,-
84064,Consonant,Natural,aar,-,-,-,-,-,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-
84065,Consonant,Natural,aar,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
84066,Consonant,Natural,aar,+,+,-,-,-,-,+,-,-,-,-,-,+,+,-,-,-,-,-,-,+,+,-
84067,Consonant,Natural,aar,+,-,-,-,-,+,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,+,-
84068,Consonant,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-
84069,Consonant,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,+,-,-
84070,Consonant,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,-,+,+,-
84071,Consonant,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
84072,Consonant,Natural,aar,+,+,+,+,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,+,-
84073,Consonant,Natural,aar,-,-,+,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,+,-,-
145608,Stop/affricate,Natural,aar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
145609,Stop/affricate,Natural,aar,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
145610,Stop/affricate,Natural,aar,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-
145611,Stop/affricate,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,-
145612,Stop/affricate,Natural,aar,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-
145613,Stop/affricate,Natural,aar,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-
173357,Vowel,Natural,aar,-,-,-,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
173358,Vowel,Natural,aar,-,+,+,+,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
173359,Vowel,Natural,aar,-,+,+,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
173360,Vowel,Natural,aar,-,-,+,-,-,-,-,-,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
173361,Vowel,Natural,aar,-,-,-,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
173362,Vowel,Natural,aar,-,-,-,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
173363,Vowel,Natural,aar,-,-,+,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,-,+,-
173364,Vowel,Natural,aar,-,+,+,-,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
173365,Vowel,Natural,aar,-,+,+,+,+,-,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,+,+
173366,Vowel,Natural,aar,-,-,-,-,+,-,-,+,-,-,+,+,-,+,-,+,-,+,-,-,-,+,-
